brand_family,expression,expression_type,name,is_core_range,proof,abv,age,mash,spirit_type,producer,brand,id
Legent,Legent Yamazaki Cask Finish,,Legent Yamazaki Cask Finish,N,114,57,8,"Corn, Rye, Malted Barley",,Jim Beam (Beam Suntory),Legent,30f715a3-013f-4f06-898c-480f9f820ada
Lincoln,Lincoln KY Straight Bourbon,,Lincoln KY Straight Bourbon,N,118,59,,,,Lincoln,Lincoln,53a3c002-660d-48a2-85b3-0a89c4c31eae
Lincoln,Lincoln KY Straight Bourbon Cask Strength,Cask Strength,"Lincoln KY Straight Bourbon, Cask Strength",N,118,,2,"Corn, Rye, Malted Barley",,Lincoln,Lincoln,24f2896f-d229-4383-8e14-537563afb394
Little Book,Little Book,,Little Book,N,118.1,59.05,,,,Jim Beam (Beam Suntory),Little Book,7b9e84da-be9d-4b15-a0ea-ae8f0f160cae
Little Book,Little Book Chapter 7 'In Retrospect',,Little Book Chapter 7 'In Retrospect' (2023),N,118.1,,,Various (blend of straight whiskeys),,Jim Beam (Beam Suntory),Little Book,255e4f08-c127-408d-9379-8ddc76bc015b
Lucky Seven,Lucky Seven,,Lucky Seven,N,134.2,67.1,,,,Lucky Seven,Lucky Seven,cabf63aa-db71-4507-807f-57ac2de68eaa
Lucky Seven,Lucky Seven The Holiday Toast Double Oak,,"Lucky Seven The Holiday Toast, Double Oak",N,115,57.5,,"Corn, Rye, Malted Barley",,Lucky Seven,Lucky Seven,9857ad9a-439a-4678-beb8-d5a8811c82d9
Maker's Mark,Maker's Mark,,Maker's Mark,Y,90,,,"70% Corn, 16% Wheat, 14% Malted Barley",,Maker's Mark (Beam Suntory),Maker's Mark,5ae039ed-36dd-4a45-a169-39b38e08959e
Maker's Mark,Maker's Mark 46,,Maker's Mark No. 46 French Oaked,Y,94,47,,"Corn, Wheat, Malted Barley",,Maker's Mark (Beam Suntory),Maker's Mark,9c24e0ec-bc65-4ad6-a35f-727af74286cf
Maker's Mark,Maker's Mark Cask Strength,Cask Strength,Maker's Mark Cask Strength,Y,113.2,54.35,,"70% Corn, 16% Wheat, 14% Malted Barley",,Maker's Mark (Beam Suntory),Maker's Mark,ca606168-694a-4712-b602-b6af97db876f
Maker's Mark,Maker's Mark Cellar Aged,,Maker's Mark Cellar Aged,N,115.8,57.9,,,,Maker's Mark (Beam Suntory),Maker's Mark,e2a88581-4039-4a89-a03d-252cbe7a9e05
Maker's Mark,Maker's Mark DNA Project,,Maker's Mark DNA Project — 115 Entry Proof,N,117.6,,8,"Corn, Wheat, Malted Barley",,Maker's Mark (Beam Suntory),Maker's Mark,180442a9-4725-41d6-8c32-ca15309c9ee4
Maker's Mark,Maker's Mark Private Selection,,Maker's Mark Private Selection 2022 Master Distiller,N,113.2,,,"Corn, Wheat, Malted Barley",,Maker's Mark (Beam Suntory),Maker's Mark,4c93b345-6536-4cda-8a6e-a3919ed721c6
Maker's Mark,Maker's Mark Wood Finishing Series,,Maker's Mark Wood Finishing 2024 — The Heart Release,N,110.8,,,"Corn, Wheat, Malted Barley",,Maker's Mark (Beam Suntory),Maker's Mark,cbaed5ea-ead3-4fb0-94bb-1124bef30496
Michter's,Michter's 10 Year Single Barrel,Single Barrel,Michter's 10 Yr,N,94.4,47.2,,,,Michter's,Michter's,3453cde6-854c-453e-8ec6-3767def6a0d5
Michter's,Michter's 20 Year,,Michter's 20 Yr,N,114.2,57.1,,,,Michter's,Michter's,9a01c99a-bc2a-4f88-ac81-5c6f16d5bfe0
Michter's,Michter's 25 Year,,Michter's 25 Yr,N,116.2,58.1,,,,Michter's,Michter's,84c1b56d-61ed-4fc9-a2bd-d000b976f104
Michter's,Michter's US-1 Small Batch,Small Batch,Michter's US-1 Small Batch,Y,,,,,,Michter's,Michter's,ab616e4b-1ead-46b4-a409-65bc5058c5c9
Michter's,Michter's US-1 Toasted Barrel Finish,,Michter's Toasted Barrel Finish Bourbon (Batch 15H664),N,91.4,45.7,,,,Michter's,Michter's,f76da960-449f-46d3-acd6-a7ecb10a55fc
New Riff,New Riff 8 year old,,New Riff 8 year old,Y,100,50,8,"65% corn, 30% rye, 5% malted barley",,New Riff,New Riff,ad270781-fbf2-4e4f-9d3b-ec5b40e4225a
New Riff,New Riff Kentucky Straight Rye,Straight Rye,New Riff Kentucky Straight Rye,N,100,50,8,"Rye, Malted Barley",,New Riff,New Riff,2f80ddda-e8d4-4c09-8b4c-c1760feac9e9
