brand_family,expression,expression_type,name,is_core_range,proof,abv,age,mash,spirit_type,producer,brand,id
Willett,Willett Rowan's Creek,,"Rowan's Creek, 12 Year",Y,100,50,,,,Willett (Kentucky Bourbon Distillers),Willett,f767930f-a689-4cfc-ba11-9cb13b8214c7
Willett,Willett Single Barrel,Single Barrel,Willett Single Barrel,Y,113.2,56.6,,,,Willett (Kentucky Bourbon Distillers),Willett,05609799-8245-4267-9553-32492c97f914
Willett,Willett Vintage,,Vintage Bourbon,N,94,47,,,,Willett (Kentucky Bourbon Distillers),Willett,8ade6ac9-495a-4c43-994f-15b150ae7b1c
Woodford Reserve,Woodford Reserve Distiller's Select,,Woodford Reserve Distiller's Select,Y,90.4,45.2,,"Corn, Rye, Malted Barley",,Brown-Forman,Woodford Reserve,a8fce06d-8263-45e1-b4c7-920809ea9648
Woodford Reserve,Woodford Reserve Double Double Oaked,,Woodford Reserve Double Double Oaked,N,90.4,45.2,,,,Brown-Forman,Woodford Reserve,8167447b-51f0-46f0-bdee-a44583aeade9
Woodford Reserve,Woodford Reserve Double Oaked,,Woodford Reserve Double Oaked,Y,90.4,45.2,,,,Brown-Forman,Woodford Reserve,e9ff244d-2f0c-448e-964e-6ca219bc6bc4
Woodford Reserve,Woodford Reserve Master's Collection,,Woodford Reserve Master's Collection,N,90.4,45.2,,,,Brown-Forman,Woodford Reserve,cfbf3497-b355-4a4e-aaba-efe0629133bb
Woodford Reserve,Woodford Reserve Rye,Single Barrel,"Woodford Reserve Distiller's Select Rye, Single Barrel / Barrel Strength",Y,125.1,62.55,,"Rye, Corn, Malted Barley",,Brown-Forman,Woodford Reserve,1b42ebed-8341-4996-bfd7-6569cf9772c0
Woodinville,Woodinville,,Woodinville,N,94,47,,,,Woodinville Whiskey Co.,Woodinville,3a8cfe3f-a7fe-43c5-a1a1-50afea000b13
Yellowstone,Yellowstone,,Yellowstone,N,101,50.5,,,,Yellowstone,Yellowstone,261f2316-de0f-4f37-8d6f-7c3c4d849f59
Yellowstone,Yellowstone Hand Picked Collection Single Barrel,Single Barrel,"Yellowstone Hand Picked Collection, Single Barrel",N,109,57.5,,"Rye, Malted Barley",,Yellowstone,Yellowstone,da025fd5-2f68-46b6-aa12-f00dda369a67
Yellowstone,Yellowstone Select,,Yellowstone Select,N,93,46.5,,,,Yellowstone,Yellowstone,2a78f5a1-6906-4340-a12b-de1a00a1a3e4
Yellowstone,Yellowstone Single Barrel,Single Barrel,"Yellowstone , Single Barrel",N,109,54.5,,,,Yellowstone,Yellowstone,a46b41d1-f829-439e-8708-a9909753bd77
